source_text,tone,target_text,,,
I am tired today,informal,I’m so tired today,,,
I am tired today,poetic,Exhaustion rests upon me,,,
She is very kind,formal,She is exceptionally kind-hearted,,,
She is very kind,informal,She’s really sweet,,,
She is very kind,poetic,Her kindness flows like a gentle breeze,,,
The weather is nice today,formal,The weather is pleasant today,,,
The weather is nice today,informal,The weather is great today,,,
The weather is nice today,poetic,The sky smiles softly today,,,
I miss you,formal,I deeply miss your presence,,,
I miss you,informal,I really miss you,,,
I miss you,poetic,Your absence echoes within me,,,
He is very smart,formal,He is highly intelligent,,,
He is very smart,informal,He’s really smart,,,
He is very smart,poetic,His mind shines brightly,,,
I need some rest,formal,I require some rest,,,
I need some rest,informal,I need a break,,,
I need some rest,poetic,Rest calls my weary soul,,,
This is important,formal,This is of great importance,,,
This is important,informal,This is really important,,,
This is important,poetic,This moment holds quiet meaning,,,
I feel nervous,formal,I feel somewhat anxious,,,
I feel nervous,informal,I’m kinda nervous,,,
I feel nervous,poetic,An uneasy rhythm fills me,,,
ഞാൻ സന്തോഷത്തിലാണ്,formal,I am feeling happy,,,
ഞാൻ സന്തോഷത്തിലാണ്,informal,I’m really happy,,,
ഞാൻ സന്തോഷത്തിലാണ്,poetic,Joy blooms inside me,,,
അവൾ നല്ലവളാണ്,formal,She is a kind person,,,
അവൾ നല്ലവളാണ്,informal,She’s really nice,,,
അവൾ നല്ലവളാണ്,poetic,Her heart shines with kindness,,,
ഇന്ന് കാലാവസ്ഥ നല്ലതാണ്,formal,The weather is pleasant today,,,
ഇന്ന് കാലാവസ്ഥ നല്ലതാണ്,informal,Weather is nice today,,,
ഇന്ന് കാലാവസ്ഥ നല്ലതാണ്,poetic,The sky whispers calmness,,,
എനിക്ക് നിന്നെ മിസ്സ് ചെയ്യുന്നു,formal,I miss you,,,
എനിക്ക് നിന്നെ മിസ്സ് ചെയ്യുന്നു,poetic,Your absence lingers in me,,,
അവൻ ബുദ്ധിമാനാണ്,formal,He is intelligent,,,
അവൻ ബുദ്ധിമാനാണ്,informal,He’s smart,,,
അവൻ ബുദ്ധിമാനാണ്,poetic,His thoughts shine like light,,,
ഞാൻ ക്ഷീണിതനാണ്,formal,I am tired,,,
ഞാൻ ക്ഷീണിതനാണ്,informal,I’m tired,,,
ഞാൻ ക്ഷീണിതനാണ്,poetic,Fatigue surrounds me,,,
എനിക്ക് വിശ്രമം വേണം,formal,I need rest,,,
എനിക്ക് വിശ്രമം വേണം,informal,I need a break,,,
എനിക്ക് വിശ്രമം വേണം,poetic,Rest calls me softly,,,
I love this place,formal,I truly love this place,,,
I love this place,informal,I love this place a lot,,,
I love this place,poetic,This place holds my heart,,,
This food is good,formal,This food is delightful,,,
This food is good,informal,This food tastes great,,,
This food is good,poetic,Every bite tells a story,,,
She sings well,formal,She sings beautifully,,,
She sings well,informal,She sings really well,,,
She sings well,poetic,Her voice flows like music,,,
I will wait for you,formal,I shall wait for you,,,
I will wait for you,informal,I’ll wait for you,,,
I will wait for you,poetic,I wait where time pauses,,,
I feel sad,formal,I feel sorrowful,,,
I feel sad,informal,I’m kinda sad,,,
I feel sad,poetic,Sadness drifts within me,,,
I am feeling very happy today,formal,I am experiencing great happiness today,,,
I am feeling very happy today,informal,I’m really happy today,,,
I am feeling very happy today,poetic,Joy blooms gently within me today,,,
I am extremely tired,formal,I am quite fatigued,,,
I am extremely tired,informal,I’m super tired,,,
I am extremely tired,poetic,Exhaustion wraps around me like a shadow,,,
She speaks very kindly,formal,She communicates with great kindness,,,
She speaks very kindly,informal,She talks really nicely,,,
She speaks very kindly,poetic,Her words flow like gentle kindness,,,
He is very intelligent,formal,He is highly intelligent,,,
He is very intelligent,informal,He’s really smart,,,
He is very intelligent,poetic,His mind shines with brilliance,,,
I need your help,formal,I require your assistance,,,
I need your help,informal,I need your help,,,
I need your help,poetic,Your support is the light I seek,,,
Please wait here,formal,Kindly remain here,,,
Please wait here,informal,Wait here for a bit,,,
Please wait here,poetic,Let time pause with you here,,,
This place is very beautiful,formal,This location is exceptionally beautiful,,,
This place is very beautiful,informal,This place looks amazing,,,
This place is very beautiful,poetic,Beauty rests softly in this place,,,
I miss you a lot,formal,I miss you greatly,,,
I miss you a lot,informal,I miss you so much,,,
I miss you a lot,poetic,Your absence echoes in my heart,,,
The meeting is tomorrow,formal,The meeting is scheduled for tomorrow,,,
The meeting is tomorrow,informal,Meeting is tomorrow,,,
The meeting is tomorrow,poetic,Tomorrow gathers us for a meeting,,,
I will call you later,formal,I shall contact you later,,,
I will call you later,informal,I’ll call you later,,,
I will call you later,poetic,Later, my voice will find you,,
I like your dress,formal,I admire your attire,,,
I like your dress,informal,I like your outfit,,,
I like your dress,poetic,Your attire whispers elegance,,,
You did a great job,formal,You performed excellently,,,
You did a great job,informal,You did great,,,
You did a great job,poetic,Your effort shines like a victory,,,
I am not feeling well,formal,I am unwell,,,
I am not feeling well,informal,I feel sick,,,
I am not feeling well,poetic,My body carries a quiet weakness,,,
This work is difficult,formal,This task is challenging,,,
This work is difficult,informal,This is hard,,,
This work is difficult,poetic,Difficulty lingers in this task,,,
Time is very precious,formal,Time is extremely valuable,,,
Time is very precious,informal,Time is important,,,
Time is very precious,poetic,Time flows like a priceless river,,,
Life is beautiful,formal,Life is truly beautiful,,,
Life is beautiful,informal,Life is awesome,,,
Life is beautiful,poetic,Life dances in colors of beauty,,,
We should start now,formal,We should commence now,,,
We should start now,informal,Let’s start now,,,
We should start now,poetic,Now is the moment to begin,,,
I respect your opinion,formal,I value your opinion,,,
I respect your opinion,informal,I respect what you think,,,
I respect your opinion,poetic,Your thoughts carry quiet wisdom,,,
He is very strong,formal,He is physically strong,,,
He is very strong,informal,He’s strong,,,
He is very strong,poetic,Strength lives within him,,,
I love this place,formal,I have great affection for this place,,,
I love this place,informal,I love this place,,,
I love this place,poetic,My heart belongs to this place,,,
The weather is nice today,formal,The weather is pleasant today,,,
The weather is nice today,informal,Weather is nice today,,,
The weather is nice today,poetic,The day smiles with gentle weather,,,
She is very beautiful,formal,She is extremely beautiful,,,
She is very beautiful,informal,She’s really pretty,,,
She is very beautiful,poetic,Beauty rests in her presence,,,
He is my best friend,formal,He is my closest friend,,,
He is my best friend,informal,He’s my best friend,,,
He is my best friend,poetic,He is the soul that walks beside me,,,
I am waiting for you,formal,I am awaiting your arrival,,,
I am waiting for you,informal,I’m waiting for you,,,
I am waiting for you,poetic,I wait where time stands still for you,,,
I want to learn more,formal,I wish to acquire more knowledge,,,
I want to learn more,informal,I want to learn more,,,
I want to learn more,poetic,Knowledge calls me deeper,,,
I trust you,formal,I have trust in you,,,
I trust you,informal,I trust you,,,
I trust you,poetic,Trust binds my heart to yours,,,
I am happy,formal,I am pleased,,,
I am happy,informal,I’m happy,,,
I am happy,poetic,Happiness rests within me,,,
,,,,,
I am sad,formal,I feel sorrowful,,,
I am sad,informal,I feel sad,,,
I am sad,poetic,Sadness lingers in my heart,,,
She is my friend,formal,She is my companion,,,
She is my friend,informal,She’s my friend,,,
She is my friend,poetic,She walks beside me in life,,,
He works hard,formal,He works diligently,,,
He works hard,informal,He works really hard,,,
He works hard,poetic,He labors with unwavering effort,,,
This is important,formal,This is significant,,,
This is important,informal,This matters,,,
This is important,poetic,This holds great meaning,,,
I understand this,formal,I comprehend this,,,
I understand this,informal,I get this,,,
I understand this,poetic,Clarity dawns within me,,,
Please sit down,formal,Kindly take a seat,,,
Please sit down,informal,Sit down,,,
Please sit down,poetic,Rest yourself gently,,,
I will help you,formal,I shall assist you,,,
I will help you,informal,I’ll help you,,,
I will help you,poetic,My help will find you,,,
This is difficult,formal,This is challenging,,,
This is difficult,informal,This is hard,,,
This is difficult,poetic,Difficulty shadows this task,,,
I feel excited,formal,I feel enthusiastic,,,
I feel excited,informal,I’m excited,,,
I feel excited,poetic,Excitement dances within me,,,
He is very kind,formal,He is extremely kind,,,
He is very kind,informal,He’s really kind,,,
He is very kind,poetic,Kindness lives in his soul,,,
The food is good,formal,The food is satisfactory,,,
The food is good,informal,The food is good,,,
The food is good,poetic,Flavor sings in every bite,,,
I like this place,formal,I appreciate this place,,,
I like this place,informal,I like this place,,,
I like this place,poetic,This place speaks to my heart,,,
She is strong,formal,She is resilient,,,
She is strong,informal,She’s strong,,,
She is strong,poetic,Strength flows through her spirit,,,
I need time,formal,I require time,,,
I need time,informal,I need time,,,
I need time,poetic,Time is what I seek,,,
This is beautiful,formal,This is aesthetically pleasing,,,
This is beautiful,informal,This is beautiful,,,
This is beautiful,poetic,Beauty unfolds before me,,,
I am confused,formal,I am uncertain,,,
I am confused,informal,I’m confused,,,
I am confused,poetic,My thoughts wander in fog,,,
He is late,formal,He is delayed,,,
He is late,informal,He’s late,,,
He is late,poetic,Time escapes his steps,,,
I am learning,formal,I am acquiring knowledge,,,
I am learning,informal,I’m learning,,,
I am learning,poetic,Knowledge grows within me,,,
She sings well,formal,She sings proficiently,,,
She sings well,informal,She sings well,,,
She sings well,poetic,Her voice flows like music,,,
I will try again,formal,I will attempt again,,,
I will try again,informal,I’ll try again,,,
I will try again,poetic,Hope pushes me forward again,,,
This is enough,formal,This is sufficient,,,
This is enough,informal,This is enough,,,
This is enough,poetic,Enough rests here,,,
He is angry,formal,He is upset,,,
He is angry,informal,He’s mad,,,
He is angry,poetic,Anger burns within him,,,
I forgive you,formal,I pardon you,,,
I forgive you,informal,I forgive you,,,
I forgive you,poetic,Forgiveness frees my heart,,,
The journey is long,formal,The journey is extensive,,,
The journey is long,informal,The journey is long,,,
The journey is long,poetic,The path stretches endlessly,,,
I feel peaceful,formal,I feel calm,,,
I feel peaceful,informal,I feel relaxed,,,
I feel peaceful,poetic,Peace settles within me,,,
This is surprising,formal,This is unexpected,,,
This is surprising,informal,This is surprising,,,
This is surprising,poetic,Surprise unfolds suddenly,,,
He is talented,formal,He is highly skilled,,,
He is talented,informal,He’s talented,,,
He is talented,poetic,Talent shines within him,,,
I will wait,formal,I shall wait,,,
I will wait,informal,I’ll wait,,,
I will wait,poetic,Patience holds me here,,,
She is honest,formal,She is truthful,,,
She is honest,informal,She’s honest,,,
She is honest,poetic,Truth lives in her words,,,
Almas is very kind,formal,Almas is a very kind person,,,
Almas is very kind,informal,Almas is really nice,,,
Almas is very kind,poetic,Kindness lives in Almas,,,
,,,,,
Rahul is late today,formal,Rahul is delayed today,,,
Rahul is late today,informal,Rahul is late,,,
Rahul is late today,poetic,Time slipped away from Rahul,,,
I met Almas in Kerala,formal,I met Almas in Kerala,,,
I met Almas in Kerala,informal,I met Almas in Kerala,,,
I met Almas in Kerala,poetic,In Kerala, I crossed paths with Almas,,
Paris is a beautiful city,formal,Paris is a beautiful city,,,
Paris is a beautiful city,informal,Paris is beautiful,,,
Paris is a beautiful city,poetic,Paris glows with timeless beauty,,,
The bank is closed,formal,The financial institution is closed,,,
The bank is closed,informal,The bank is closed,,,
The bank is closed,poetic,The doors of wealth remain shut,,,
He sat by the river bank,formal,He sat near the river bank,,,
He sat by the river bank,informal,He sat by the river side,,,
He sat by the river bank,poetic,He rested where the river kissed the land,,,
This bag is light,formal,This bag is lightweight,,,
This bag is light,informal,This bag is light,,,
This bag is light,poetic,This bag feels like air in my hands,,,
Turn on the light,formal,Please switch on the light,,,
Turn on the light,informal,Turn on the light,,,
Turn on the light,poetic,Let the light awaken the room,,,
You are right,formal,You are correct,,,
You are right,informal,You’re right,,,
You are right,poetic,Truth stands with you,,,
Take a right turn,formal,Take a right turn,,,
Take a right turn,informal,Turn right,,,
Take a right turn,poetic,Let your path bend to the right,,,
Almas loves music,formal,Almas has a passion for music,,,
Almas loves music,informal,Almas loves music,,,
Almas loves music,poetic,Music flows through Almas,,,
Rahul works in a bank,formal,Rahul works in a financial institution,,,
Rahul works in a bank,informal,Rahul works in a bank,,,
Rahul works in a bank,poetic,Rahul serves where money sleeps,,,
Kerala is very peaceful,formal,Kerala is very peaceful,,,
Kerala is very peaceful,informal,Kerala is calm,,,
Kerala is very peaceful,poetic,Kerala rests in quiet beauty,,,
I saw a light in the sky,formal,I observed a light in the sky,,,
I saw a light in the sky,informal,I saw a light in the sky,,,
I saw a light in the sky,poetic,A glow danced across the sky,,,
He gave me a right answer,formal,He provided the correct answer,,,
He gave me a right answer,informal,He gave the right answer,,,
He gave me a right answer,poetic,His answer carried truth,,,
അൽമാസ് നല്ലവളാണ്,formal,Almas is a kind person,,,
അൽമാസ് നല്ലവളാണ്,informal,Almas is nice,,,
അൽമാസ് നല്ലവളാണ്,poetic,Kindness shines in Almas,,,
രാഹുൽ ഇന്ന് വൈകി,formal,Rahul is late today,,,
രാഹുൽ ഇന്ന് വൈകി,informal,Rahul is late,,,
രാഹുൽ ഇന്ന് വൈകി,poetic,Time escaped Rahul today,,,
കേരളം വളരെ മനോഹരമാണ്,formal,Kerala is very beautiful,,,
കേരളം വളരെ മനോഹരമാണ്,informal,Kerala is beautiful,,,
കേരളം വളരെ മനോഹരമാണ്,poetic,Kerala blooms with beauty,,,
ഞാൻ ബാങ്കിൽ ജോലി ചെയ്യുന്നു,formal,I work in a bank,,,
ഞാൻ ബാങ്കിൽ ജോലി ചെയ്യുന്നു,informal,I work in a bank,,,
ഞാൻ ബാങ്കിൽ ജോലി ചെയ്യുന്നു,poetic,I serve where money rests,,,
നദിയുടെ കരയിൽ അവൻ ഇരുന്നു,formal,He sat by the river bank,,,
നദിയുടെ കരയിൽ അവൻ ഇരുന്നു,informal,He sat near the river,,,
നദിയുടെ കരയിൽ അവൻ ഇരുന്നു,poetic,He rested by the flowing river,,,
ഈ ബാഗ് ലളിതമാണ്,formal,This bag is light,,,
ഈ ബാഗ് ലളിതമാണ്,informal,This bag is light,,,
ഈ ബാഗ് ലളിതമാണ്,poetic,This bag feels weightless,,,
ലൈറ്റ് ഓണാക്കൂ,formal,Please switch on the light,,,
ലൈറ്റ് ഓണാക്കൂ,informal,Turn on the light,,,
ലൈറ്റ് ഓണാക്കൂ,poetic,Let the light awaken,,,
നീ ശരിയാണ്,formal,You are correct,,,
നീ ശരിയാണ്,informal,You’re right,,,
നീ ശരിയാണ്,poetic,Truth stands with you,,,
വലത്തേക്ക് തിരിയുക,formal,Turn to the right,,,
വലത്തേക്ക് തിരിയുക,informal,Turn right,,,
വലത്തേക്ക് തിരിയുക,poetic,Let your path bend right,,,
അൽമാസ് സംഗീതം ഇഷ്ടപ്പെടുന്നു,formal,Almas likes music,,,
അൽമാസ് സംഗീതം ഇഷ്ടപ്പെടുന്നു,informal,Almas loves music,,,
അൽമാസ് സംഗീതം ഇഷ്ടപ്പെടുന്നു,poetic,Music flows within Almas,,,
രാഹുൽ ബാങ്കിൽ ജോലി ചെയ്യുന്നു,formal,Rahul works in a bank,,,
രാഹുൽ ബാങ്കിൽ ജോലി ചെയ്യുന്നു,informal,Rahul works in a bank,,,
രാഹുൽ ബാങ്കിൽ ജോലി ചെയ്യുന്നു,poetic,Rahul serves where wealth sleeps,,,
ആകാശത്ത് ഒരു പ്രകാശം കണ്ടു,formal,I saw a light in the sky,,,
ആകാശത്ത് ഒരു പ്രകാശം കണ്ടു,informal,I saw a light in the sky,,,
ആകാശത്ത് ഒരു പ്രകാശം കണ്ടു,poetic,A light danced in the sky,,,
I couldn't attend the meeting because I was not feeling well,formal,I was unable to attend the meeting due to health issues,,,
I couldn't attend the meeting because I was not feeling well,informal,I missed the meeting because I was sick,,,
I couldn't attend the meeting because I was not feeling well,poetic,Illness held me back from joining the gathering,,,
Can you please explain this concept again in a simple way,formal,Could you kindly explain this concept again in a simplified manner,,,
Can you please explain this concept again in a simple way,informal,Can you explain this again in a simple way,,,
Can you please explain this concept again in a simple way,poetic,Can you unfold this idea gently once more,,,
I was thinking about what you said yesterday and it really made sense,formal,I reflected on your statement from yesterday and it was quite logical,,,
I was thinking about what you said yesterday and it really made sense,informal,I thought about what you said yesterday and it made sense,,,
I was thinking about what you said yesterday and it really made sense,poetic,Your words from yesterday still echo with meaning,,,
Even though the task was difficult, I managed to complete it on time,formal,Despite the difficulty of the task, I completed it on time,
Even though the task was difficult, I managed to complete it on time,informal,It was hard, but I finished it on time,
Even though the task was difficult, I managed to complete it on time,poetic,Though the path was hard, I reached the end in time,
I really appreciate the effort you put into this work,formal,I sincerely appreciate the effort you have invested in this work,,,
I really appreciate the effort you put into this work,informal,I really appreciate your effort,,,
I really appreciate the effort you put into this work,poetic,Your effort shines through this work,,,
Sometimes I feel like taking a break and just relaxing for a while,formal,At times, I feel the need to take a break and relax,,
Sometimes I feel like taking a break and just relaxing for a while,informal,Sometimes I just want to chill and relax,,,
Sometimes I feel like taking a break and just relaxing for a while,poetic,At times, I long to rest and breathe in silence,,
The way you handled that situation was really impressive and mature,formal,Your handling of that situation was highly impressive and mature,,,
The way you handled that situation was really impressive and mature,informal,You handled that really well,,,
The way you handled that situation was really impressive and mature,poetic,Your actions spoke with quiet strength and wisdom,,,
If you have any doubts, feel free to ask me at any time,formal,If you have any questions, please feel free to ask me at any time,
If you have any doubts, feel free to ask me at any time,informal,If you have doubts, just ask me anytime,
If you have any doubts, feel free to ask me at any time,poetic,Whenever doubt finds you, let your questions reach me,
I didn't expect things to turn out this way, but I am okay with it now,formal,I did not anticipate this outcome, but I have accepted it now,
I didn't expect things to turn out this way, but I am okay with it now,informal,I didn’t expect this, but I’m okay now,
I didn't expect things to turn out this way, but I am okay with it now,poetic,Fate surprised me, yet I stand at peace now,
We should plan this properly before making any decisions,formal,We should carefully plan this before making any decisions,,,
We should plan this properly before making any decisions,informal,Let’s plan this properly first,,,
We should plan this properly before making any decisions,poetic,Let us shape our path before we choose it,,,
നാളെ നടക്കുന്ന മീറ്റിംഗിൽ പങ്കെടുക്കാൻ ഞാൻ ശ്രമിക്കും,formal,I will try to attend the meeting scheduled for tomorrow,,,
നാളെ നടക്കുന്ന മീറ്റിംഗിൽ പങ്കെടുക്കാൻ ഞാൻ ശ്രമിക്കും,informal,I’ll try to join tomorrow’s meeting,,,
നാളെ നടക്കുന്ന മീറ്റിംഗിൽ പങ്കെടുക്കാൻ ഞാൻ ശ്രമിക്കും,poetic,Tomorrow, I will try to be part of the gathering,,
നിന്റെ വാക്കുകൾ ഞാൻ ആലോചിച്ചപ്പോൾ അത് വളരെ അർത്ഥവത്തായി തോന്നി,formal,When I reflected on your words, they seemed very meaningful,,
നിന്റെ വാക്കുകൾ ഞാൻ ആലോചിച്ചപ്പോൾ അത് വളരെ അർത്ഥവത്തായി തോന്നി,informal,When I thought about what you said, it made sense,,
നിന്റെ വാക്കുകൾ ഞാൻ ആലോചിച്ചപ്പോൾ അത് വളരെ അർത്ഥവത്തായി തോന്നി,poetic,Your words lingered in my thoughts with meaning,,,
ഈ ജോലി വളരെ ബുദ്ധിമുട്ടുള്ളതായിരുന്നു എങ്കിലും ഞാൻ അത് പൂർത്തിയാക്കി,formal,Although this task was difficult, I completed it,,
ഈ ജോലി വളരെ ബുദ്ധിമുട്ടുള്ളതായിരുന്നു എങ്കിലും ഞാൻ അത് പൂർത്തിയാക്കി,informal,It was hard, but I finished it,,
ഈ ജോലി വളരെ ബുദ്ധിമുട്ടുള്ളതായിരുന്നു എങ്കിലും ഞാൻ അത് പൂർത്തിയാക്കി,poetic,Though the task was tough, I reached its end,,
നിനക്ക് സംശയങ്ങളുണ്ടെങ്കിൽ എപ്പോഴും എന്നോട് ചോദിക്കാം,formal,If you have any doubts, you may ask me anytime,,
നിനക്ക് സംശയങ്ങളുണ്ടെങ്കിൽ എപ്പോഴും എന്നോട് ചോദിക്കാം,informal,If you have doubts, just ask me,,
നിനക്ക് സംശയങ്ങളുണ്ടെങ്കിൽ എപ്പോഴും എന്നോട് ചോദിക്കാം,poetic,Whenever doubt rises, let your questions reach me,,
അവൾ ആ സാഹചര്യം വളരെ നന്നായി കൈകാര്യം ചെയ്തു,formal,She handled that situation very well,,,
അവൾ ആ സാഹചര്യം വളരെ നന്നായി കൈകാര്യം ചെയ്തു,informal,She handled it really well,,,
അവൾ ആ സാഹചര്യം വളരെ നന്നായി കൈകാര്യം ചെയ്തു,poetic,She faced the moment with grace and strength,,,
എനിക്ക് ഒന്നു വിശ്രമിക്കാനും ശാന്തമായി ഇരിക്കാനും തോന്നുന്നു,formal,I feel the need to rest and stay calm,,,
എനിക്ക് ഒന്നു വിശ്രമിക്കാനും ശാന്തമായി ഇരിക്കാനും തോന്നുന്നു,informal,I just want to relax for a bit,,,
എനിക്ക് ഒന്നു വിശ്രമിക്കാനും ശാന്തമായി ഇരിക്കാനും തോന്നുന്നു,poetic,My heart seeks a moment of quiet rest,,,
ഞാൻ പ്രതീക്ഷിച്ചതിനേക്കാൾ കാര്യങ്ങൾ വ്യത്യസ്തമായി സംഭവിച്ചു,formal,Things turned out differently than I expected,,,
ഞാൻ പ്രതീക്ഷിച്ചതിനേക്കാൾ കാര്യങ്ങൾ വ്യത്യസ്തമായി സംഭവിച്ചു,informal,Things didn’t go as I expected,,,
ഞാൻ പ്രതീക്ഷിച്ചതിനേക്കാൾ കാര്യങ്ങൾ വ്യത്യസ്തമായി സംഭവിച്ചു,poetic,Life unfolded in ways I did not foresee,,,
നമ്മൾ എന്തെങ്കിലും തീരുമാനങ്ങൾ എടുക്കുന്നതിന് മുമ്പ് ഇത് ശരിയായി ആസൂത്രണം ചെയ്യണം,formal,We should plan this properly before making any decisions,,,
നമ്മൾ എന്തെങ്കിലും തീരുമാനങ്ങൾ എടുക്കുന്നതിന് മുമ്പ് ഇത് ശരിയായി ആസൂത്രണം ചെയ്യണം,informal,Let’s plan this properly first,,,
നമ്മൾ എന്തെങ്കിലും തീരുമാനങ്ങൾ എടുക്കുന്നതിന് മുമ്പ് ഇത് ശരിയായി ആസൂത്രണം ചെയ്യണം,poetic,Before we decide, let us shape our path carefully,,
Break a leg in your exam tomorrow,formal,I wish you success in your examination tomorrow,,,
Break a leg in your exam tomorrow,informal,Good luck for your exam tomorrow,,,
Break a leg in your exam tomorrow,poetic,May fortune walk beside you tomorrow,,,
,,,,,
He finally kicked the bucket,formal,He has passed away,,,
He finally kicked the bucket,informal,He died,,,
He finally kicked the bucket,poetic,He has left this world behind,,,
This plan is not working at all,formal,This plan is ineffective,,,
This plan is not working at all,informal,This plan isn’t working,,,
This plan is not working at all,poetic,This plan falls apart like sand,,,
I am really fed up with this situation,formal,I am quite frustrated with this situation,,,
I am really fed up with this situation,informal,I’m tired of this,,,
I am really fed up with this situation,poetic,This situation drains my spirit,,,
You don’t have to worry about anything,formal,There is no need for you to worry,,,
You don’t have to worry about anything,informal,Don’t worry about anything,,,
You don’t have to worry about anything,poetic,Let your worries fade away,,,
That movie was mind-blowing,formal,The movie was extremely impressive,,,
That movie was mind-blowing,informal,That movie was amazing,,,
That movie was mind-blowing,poetic,The movie left me in awe,,,
I can't believe this is happening right now,formal,I cannot believe this is happening at present,,,
I can't believe this is happening right now,informal,I can’t believe this,,,
I can't believe this is happening right now,poetic,Reality feels unreal in this moment,,,
This work is getting on my nerves,formal,This work is becoming irritating,,,
This work is getting on my nerves,informal,This is annoying me,,,
This work is getting on my nerves,poetic,This work unsettles my mind,,,
Stop overthinking everything,formal,Please avoid overanalyzing everything,,,
Stop overthinking everything,informal,Stop overthinking,,,
Stop overthinking everything,poetic,Let your thoughts rest for a while,,,
He thinks he knows everything,formal,He believes he knows everything,,,
He thinks he knows everything,informal,He thinks he knows it all,,,
He thinks he knows everything,poetic,He walks with the illusion of knowing all,,,
നാളെ പരീക്ഷയ്ക്ക് പോകുമ്പോൾ നല്ലതായിരിക്കും,formal,You will perform well in the exam tomorrow,,,
നാളെ പരീക്ഷയ്ക്ക് പോകുമ്പോൾ നല്ലതായിരിക്കും,informal,You’ll do well tomorrow,,,
നാളെ പരീക്ഷയ്ക്ക് പോകുമ്പോൾ നല്ലതായിരിക്കും,poetic,Tomorrow may bring success to you,,,
അവൻ ഒടുവിൽ മരിച്ചു,formal,He passed away,,,
അവൻ ഒടുവിൽ മരിച്ചു,informal,He died,,,
അവൻ ഒടുവിൽ മരിച്ചു,poetic,He left this world behind,,,
ഈ പദ്ധതി ഒരുപോലും പ്രവർത്തിക്കുന്നില്ല,formal,This plan is not effective,,,
ഈ പദ്ധതി ഒരുപോലും പ്രവർത്തിക്കുന്നില്ല,informal,This plan isn’t working,,,
ഈ പദ്ധതി ഒരുപോലും പ്രവർത്തിക്കുന്നില്ല,poetic,This plan fades without success,,,
എനിക്ക് ഈ കാര്യത്തിൽ വളരെ അസഹിഷ്ണുതയുണ്ട്,formal,I am very frustrated with this matter,,,
എനിക്ക് ഈ കാര്യത്തിൽ വളരെ അസഹിഷ്ണുതയുണ്ട്,informal,I’m annoyed by this,,,
എനിക്ക് ഈ കാര്യത്തിൽ വളരെ അസഹിഷ്ണുതയുണ്ട്,poetic,This matter disturbs my peace,,,
നിനക്ക് ആശങ്കപ്പെടേണ്ട ആവശ്യമില്ല,formal,There is no need for you to worry,,,
നിനക്ക് ആശങ്കപ്പെടേണ്ട ആവശ്യമില്ല,informal,Don’t worry,,,
നിനക്ക് ആശങ്കപ്പെടേണ്ട ആവശ്യമില്ല,poetic,Let your worries dissolve,,,
ആ സിനിമ അത്യന്തം മികച്ചതായിരുന്നു,formal,The movie was excellent,,,
ആ സിനിമ അത്യന്തം മികച്ചതായിരുന്നു,informal,The movie was awesome,,,
ആ സിനിമ അത്യന്തം മികച്ചതായിരുന്നു,poetic,The movie sparkled with brilliance,,,
എനിക്ക് ഇത് വിശ്വസിക്കാൻ കഴിയുന്നില്ല,formal,I cannot believe this,,,
എനിക്ക് ഇത് വിശ്വസിക്കാൻ കഴിയുന്നില്ല,informal,I can’t believe this,,,
എനിക്ക് ഇത് വിശ്വസിക്കാൻ കഴിയുന്നില്ല,poetic,This feels unreal to me,,,
ഈ ജോലി എന്നെ ബുദ്ധിമുട്ടിക്കുന്നു,formal,This work is troubling me,,,
ഈ ജോലി എന്നെ ബുദ്ധിമുട്ടിക്കുന്നു,informal,This is annoying me,,,
ഈ ജോലി എന്നെ ബുദ്ധിമുട്ടിക്കുന്നു,poetic,This work disturbs my calm,,,
എല്ലാം അധികം ആലോചിക്കുന്നത് നിർത്തൂ,formal,Please stop overthinking everything,,,
എല്ലാം അധികം ആലോചിക്കുന്നത് നിർത്തൂ,informal,Stop overthinking,,,
എല്ലാം അധികം ആലോചിക്കുന്നത് നിർത്തൂ,poetic,Let your thoughts settle down,,,
അവൻ എല്ലാം അറിയുന്നുവെന്ന് കരുതുന്നു,formal,He assumes he knows everything,,,
അവൻ എല്ലാം അറിയുന്നുവെന്ന് കരുതുന്നു,informal,He thinks he knows everything,,,
അവൻ എല്ലാം അറിയുന്നുവെന്ന് കരുതുന്നു,poetic,He believes he holds all knowledge,,,
I don’t think this is a good idea at all,formal,I do not consider this a good idea,,,
I don’t think this is a good idea at all,informal,I don’t think this is a good idea,,,
I don’t think this is a good idea at all,poetic,This idea does not sit well with me,,,
We are running out of time and need to act quickly,formal,We are short on time and must act promptly,,,
We are running out of time and need to act quickly,informal,We’re running out of time, hurry up,,
We are running out of time and need to act quickly,poetic,Time slips away, urging us to act,,
Things are not as simple as they seem,formal,Things are more complex than they appear,,,
Things are not as simple as they seem,informal,It’s not that simple,,,
Things are not as simple as they seem,poetic,Reality hides behind simplicity,,,
Sometimes silence says more than words,formal,Silence can convey more than words,,,
Sometimes silence says more than words,informal,Silence speaks louder,,,
Sometimes silence says more than words,poetic,Silence carries deeper meaning than words,,,
I am not sure if this will work,formal,I am uncertain whether this will work,,,
I am not sure if this will work,informal,I’m not sure this will work,,,
I am not sure if this will work,poetic,Doubt lingers over this outcome,,,
,,,,,
I completely forgot about the meeting,formal,I entirely forgot about the meeting,,,
I completely forgot about the meeting,informal,I totally forgot the meeting,,,
